INFO  - 2014-01-23 20:55:57.382; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-01-23 20:55:57.383; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2014-01-23 20:55:57.384; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-01-23 20:55:57.384; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-01-23 20:55:57.385; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-01-23 20:55:57.386; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2014-01-23 20:55:57.389; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/dist/solr-cell-4.6.0.jar' to classloader
INFO  - 2014-01-23 20:55:57.391; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-01-23 20:55:57.391; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-01-23 20:55:57.392; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2014-01-23 20:55:57.394; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-01-23 20:55:57.395; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2014-01-23 20:55:57.395; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2014-01-23 20:55:57.396; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2014-01-23 20:55:57.396; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2014-01-23 20:55:57.398; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/dist/solr-clustering-4.6.0.jar' to classloader
INFO  - 2014-01-23 20:55:57.400; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-01-23 20:55:57.400; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-01-23 20:55:57.402; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/dist/solr-langid-4.6.0.jar' to classloader
INFO  - 2014-01-23 20:55:57.406; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-01-23 20:55:57.407; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2014-01-23 20:55:57.407; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-01-23 20:55:57.408; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-01-23 20:55:57.409; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/jesse/Downloads/solr-4.6.0/dist/solr-velocity-4.6.0.jar' to classloader
INFO  - 2014-01-23 20:55:57.820; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-01-23 20:55:57.834; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_46
INFO  - 2014-01-23 20:55:58.140; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-01-23 20:55:58.153; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-01-23 20:55:58.363; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-01-23 20:55:59.716; org.apache.solr.schema.IndexSchema; unique key field: id
